source,routeId,originHarbourId,destinationHarbourId,origin,destination,destinationProvince,shipClass,serviceCategory,serviceId,serviceName,vehicleClass,departDate,departTime,scheduleId,quota,fareAmount,totalPrice,currency,status,statusCode,message,sourceFile
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,11:30:00-11:30:00,,279,491800,491800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,11:30:00-11:30:00,,279,1225928,1225928,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,11:30:00-11:30:00,,279,904923,904923,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,11:30:00-11:30:00,,279,2015985,2015985,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,11:30:00-11:30:00,,279,1366620,1366620,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,11:30:00-11:30:00,,279,1975580,1975580,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,16,GOLONGAN VIII,GOLONGAN VIII,2026-08-20,11:30:00-11:30:00,,279,2619845,2619845,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,16,GOLONGAN VIII,GOLONGAN VIII,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,17,GOLONGAN IX,GOLONGAN IX,2026-08-20,11:30:00-11:30:00,,278,3998920,3998920,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,17,GOLONGAN IX,GOLONGAN IX,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,4,GOLONGAN I,GOLONGAN I,2026-08-20,11:30:00-11:30:00,,279,85000,85000,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,4,GOLONGAN I,GOLONGAN I,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,7,GOLONGAN II,GOLONGAN II,2026-08-20,11:30:00-11:30:00,,33,129677,129677,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,7,GOLONGAN II,GOLONGAN II,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,8,GOLONGAN III,GOLONGAN III,2026-08-20,11:30:00-11:30:00,,10,187853,187853,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,8,GOLONGAN III,GOLONGAN III,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Kendaraan,9,GOLONGAN IVA,GOLONGAN IVA,2026-08-20,11:30:00-11:30:00,,279,749128,749128,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-2-3-sc2,2,3,Merak,Bakauheni,,SC2,Pejalan Kaki,9,GOLONGAN IVA,GOLONGAN IVA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,11:00:00-12:00:00,,873,447800,447800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,10,GOLONGAN IVB,GOLONGAN IVB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,11:00:00-12:00:00,,873,963800,963800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,11,GOLONGAN VA,GOLONGAN VA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,11:00:00-12:00:00,,872,835300,835300,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,12,GOLONGAN VB,GOLONGAN VB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,11:00:00-12:00:00,,873,1594800,1594800,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,13,GOLONGAN VIA,GOLONGAN VIA,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,11:00:00-12:00:00,,872,1285200,1285200,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,14,GOLONGAN VIB,GOLONGAN VIB,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,11:00:00-12:00:00,,872,1860400,1860400,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,15,GOLONGAN VII,GOLONGAN VII,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,16,GOLONGAN VIII,GOLONGAN VIII,2026-08-20,11:00:00-12:00:00,,872,2452400,2452400,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,16,GOLONGAN VIII,GOLONGAN VIII,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Kendaraan,17,GOLONGAN IX,GOLONGAN IX,2026-08-20,11:00:00-12:00:00,,872,3755000,3755000,IDR,OK,200,,unified_fares_ferizy_classic_all_2026-08-20.csv
ferizy.com,classic-3-2-sc1,3,2,Bakauheni,Merak,,SC1,Pejalan Kaki,17,GOLONGAN IX,GOLONGAN IX,2026-08-20,,,,,,IDR,empty,0,,unified_fares_ferizy_classic_all_2026-08-20.csv
