route,ship_class,service,vehicle_class,vehicle_class_name,depart_date,depart_time,available_quota,sample_total,currency,status,fare_count,sample_quota
3 → 2,SC1,Kendaraan,VC10,GOLONGAN IVB,2026-08-20,11:00:00-12:00:00,873,447800,IDR,OK,1,873
3 → 2,SC1,Kendaraan,VC11,GOLONGAN VA,2026-08-20,11:00:00-12:00:00,873,963800,IDR,OK,1,873
3 → 2,SC1,Kendaraan,VC12,GOLONGAN VB,2026-08-20,11:00:00-12:00:00,872,835300,IDR,OK,1,872
3 → 2,SC1,Kendaraan,VC13,GOLONGAN VIA,2026-08-20,11:00:00-12:00:00,873,1594800,IDR,OK,1,873
3 → 2,SC1,Kendaraan,VC14,GOLONGAN VIB,2026-08-20,11:00:00-12:00:00,872,1285200,IDR,OK,1,872
3 → 2,SC1,Kendaraan,VC15,GOLONGAN VII,2026-08-20,11:00:00-12:00:00,872,1860400,IDR,OK,1,872
3 → 2,SC1,Kendaraan,VC16,GOLONGAN VIII,2026-08-20,11:00:00-12:00:00,872,2452400,IDR,OK,1,872
3 → 2,SC1,Kendaraan,VC17,GOLONGAN IX,2026-08-20,11:00:00-12:00:00,872,3755000,IDR,OK,1,872
3 → 2,SC1,PejalanKaki,VC4,GOLONGAN I,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC7,GOLONGAN II,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC8,GOLONGAN III,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC9,GOLONGAN IVA,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC10,GOLONGAN IVB,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC11,GOLONGAN VA,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC12,GOLONGAN VB,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC13,GOLONGAN VIA,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC14,GOLONGAN VIB,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC15,GOLONGAN VII,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC16,GOLONGAN VIII,2026-08-20,,,,IDR,empty,0,
3 → 2,SC1,PejalanKaki,VC17,GOLONGAN IX,2026-08-20,,,,IDR,empty,0,
3 → 2,SC2,Kendaraan,VC4,GOLONGAN I,2026-08-20,11:06:00-11:06:00,303,85000,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC7,GOLONGAN II,2026-08-20,11:06:00-11:06:00,303,129677,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC8,GOLONGAN III,2026-08-20,11:06:00-11:06:00,303,187853,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC9,GOLONGAN IVA,2026-08-20,11:06:00-11:06:00,303,749128,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC10,GOLONGAN IVB,2026-08-20,11:06:00-11:06:00,303,491800,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC11,GOLONGAN VA,2026-08-20,11:06:00-11:06:00,303,1225928,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC12,GOLONGAN VB,2026-08-20,11:06:00-11:06:00,303,904923,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC13,GOLONGAN VIA,2026-08-20,11:06:00-11:06:00,303,2015985,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC14,GOLONGAN VIB,2026-08-20,11:06:00-11:06:00,303,1366620,IDR,OK,1,303
3 → 2,SC2,Kendaraan,VC15,GOLONGAN VII,2026-08-20,11:06:00-11:06:00,303,1975580,IDR,OK,1,303
