routeId,originHarbourId,origin,destination,destinationProvince,serviceCategory,serviceId,serviceName,vehicleClass,departDate,departTime,scheduleId,quota,fareAmount,totalPrice,currency,status
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,13,Golongan III,GOL III,2026-08-21,07:00,2627160930380753768,2,145000,145000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,07:00,2627160930380753768,0,457000,457000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,07:00,2627160930380753768,2,349000,349000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,07:00,2627160930380753768,1,985000,985000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,07:00,2627160930380753768,0,627000,627000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,07:00,2627160930380753768,0,1612000,1612000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,07:00,2627160930380753768,0,934000,934000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,07:00,2627160930380753768,0,1289000,1289000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,07:00,2627160930380753768,0,1704000,1704000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,07:00,2627160930380753768,0,2415000,2415000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,07:00,2627160930380753768,0,35000,35000,IDR,OK
1514,15,Ulee Lheue,Balohan,Aceh,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,07:00,2627160930380753768,9,4200,4200,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,11,Golongan I,GOL I,2026-08-21,10:00,2627160930380753777,2,42000,42000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,12,Golongan II ,GOL II,2026-08-21,10:00,2627160930380753777,67,70000,70000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,13,Golongan III,GOL III,2026-08-21,10:00,2627160930380753777,2,147000,147000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,10:00,2627160930380753777,8,459000,459000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,10:00,2627160930380753777,6,351000,351000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,10:00,2627160930380753777,0,987000,987000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,10:00,2627160930380753777,0,629000,629000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,10:00,2627160930380753777,0,1614000,1614000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,10:00,2627160930380753777,0,936000,936000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,10:00,2627160930380753777,0,1293000,1293000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,10:00,2627160930380753777,0,1708000,1708000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,10:00,2627160930380753777,0,2419000,2419000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,10:00,2627160930380753777,158,37000,37000,IDR,OK
1516,14,Balohan,Ulee Lheue,Aceh,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,10:00,2627160930380753777,7,6200,6200,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,11,Golongan I,GOL I,2026-08-21,15:00,2627160930380748968,0,223900,223900,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,12,Golongan II ,GOL II,2026-08-21,15:00,2627160930380748968,26,410700,410700,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,13,Golongan III,GOL III,2026-08-21,15:00,2627160930380748968,0,858000,858000,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,15:00,2627160930380748968,10,2898600,2898600,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,15:00,2627160930380748968,5,2647200,2647200,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,15:00,2627160930380748968,0,5394200,5394200,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,15:00,2627160930380748968,9,4546300,4546300,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,15:00,2627160930380748968,0,8984900,8984900,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,15:00,2627160930380748968,0,7457600,7457600,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,15:00,2627160930380748968,0,9355000,9355000,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,15:00,2627160930380748968,0,13532900,13532900,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,15:00,2627160930380748968,0,19714000,19714000,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Pejalan Kaki,7,Dewasa Ekonomi,DEWASA,2026-08-21,15:00,2627160930380748968,191,186000,186000,IDR,OK
198014,19,Telaga Punggur,Kuala Tungkal,Jambi,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-21,15:00,2627160930380748968,10,18400,18400,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,11,Golongan I,GOL I,2026-08-21,21:00,2627160930380752187,0,35000,35000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,12,Golongan II ,GOL II,2026-08-21,21:00,2627160930380752187,0,120000,120000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,13,Golongan III,GOL III,2026-08-21,21:00,2627160930380752187,0,308000,308000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-21,21:00,2627160930380752187,0,1098000,1098000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-21,21:00,2627160930380752187,0,1099000,1099000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-21,21:00,2627160930380752187,0,1223000,1223000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-21,21:00,2627160930380752187,0,1758000,1758000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-21,21:00,2627160930380752187,0,1942000,1942000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-21,21:00,2627160930380752187,0,2119000,2119000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,20,Golongan VII,GOL VII,2026-08-21,21:00,2627160930380752187,0,2314000,2314000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-21,21:00,2627160930380752187,0,2488000,2488000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Kendaraan,22,Golongan IX,GOL IX,2026-08-21,21:00,2627160930380752187,0,2691000,2691000,IDR,OK
20,9,Paciran,Bawean,Jawa Timur,Pejalan Kaki,5,Dewasa Bisnis I,DEWASA,2026-08-21,21:00,2627160930380752187,0,122000,122000,IDR,OK
