routeId,originHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince
199477,199,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Jampea ,Sulawesi Selatan
199559,199,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Pulau Rinca,Nusa Tenggara Timur
5514,199,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Sape,Nusa Tenggara Barat
199436,199,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Waingapu,Nusa Tenggara Timur
218217,218,Langara,Sulawesi Tenggara,Langara,Kendari,Sulawesi Tenggara
5431,173,Larantuka,Nusa Tenggara Timur,Larantuka,Adonara,Nusa Tenggara Timur
5433,173,Larantuka,Nusa Tenggara Timur,Larantuka,Baranusa,Nusa Tenggara Timur
5427,173,Larantuka,Nusa Tenggara Timur,Larantuka,Kalabahi,Nusa Tenggara Timur
1407,173,Larantuka,Nusa Tenggara Timur,Larantuka,Kupang,Nusa Tenggara Timur
5434,173,Larantuka,Nusa Tenggara Timur,Larantuka,Lewoleba,Nusa Tenggara Timur
5432,173,Larantuka,Nusa Tenggara Timur,Larantuka,Solor,Nusa Tenggara Timur
5476,173,Larantuka,Nusa Tenggara Timur,Larantuka,Waiwerang,Nusa Tenggara Timur
198563,198,Lembar,Nusa Tenggara Barat,Lembar,Jangkar,Jawa Timur
25,198,Lembar,Nusa Tenggara Barat,Lembar,Padang Bai,Bali
198568,198,Lembar,Nusa Tenggara Barat,Lembar,Probolinggo,Jawa Timur
344049,344,Mamuju,Sulawesi Barat,Mamuju,Balikpapan,Kalimantan Timur
284296,284,Manokwari,Papua Barat,Manokwari,Biak,Papua
5487,89,Namlea,Maluku,Namlea,Galala,Maluku
182439,9,Paciran,Jawa Timur,Paciran,Bahaur,Kalimantan Tengah
20,9,Paciran,Jawa Timur,Paciran,Bawean,Jawa Timur
122,29,Padang,Sumatera Barat,Padang,Tua Pejat,Sumatera Barat
26,196,Padang Bai,Bali,Padang Bai,Lembar,Nusa Tenggara Barat
27,196,Padang Bai,Bali,Padang Bai,Nusa Penida,Bali
234228,234,Pagimana,Sulawesi Tengah,Pagimana,Gorontalo,Gorontalo
121,244,Pamatata,Sulawesi Selatan,Pamatata,Bira,Sulawesi Selatan
5489,54,Penajam,Kalimantan Timur,Penajam,Kariangau,Kalimantan Timur
30,194,Pototano,Nusa Tenggara Barat,Pototano,Kayangan,Nusa Tenggara Barat
201027,566,Probolinggo,Jawa Timur,Probolinggo,Lembar,Nusa Tenggara Barat
1023206,1023,Pulau Balang Lompo,Sulawesi Selatan,Pulau Balang Lompo,Maccini Baji,
5425,172,Rote,Nusa Tenggara Timur,Rote,Hansisi,Nusa Tenggara Timur
5354,172,Rote,Nusa Tenggara Timur,Rote,Kupang,Nusa Tenggara Timur
5350,172,Rote,Nusa Tenggara Timur,Rote,Ndao,Nusa Tenggara Timur
34,131,Rum,Maluku Utara,Rum,Bastiong,Maluku Utara
5513,200,Sape,Nusa Tenggara Barat,Sape,Labuan Bajo,Nusa Tenggara Timur
200201,200,Sape,Nusa Tenggara Barat,Sape,Waikelo,Nusa Tenggara Timur
200436,200,Sape,Nusa Tenggara Barat,Sape,Waingapu,Nusa Tenggara Timur
4041,40,Sibolga,Sumatera Utara,Sibolga,Gunungsitoli,Sumatera Utara
35,107,Sidangole,Maluku Utara,Sidangole,Bastiong,Maluku Utara
479541,479,Soekarno-Hatta (Makassar),Sulawesi Selatan,Soekarno-Hatta (Makassar),Tanjung Perak,Jawa Timur
569570,569,Tanjung Api Api,Sumatera Selatan,Tanjung Api Api,Tanjung Kalian,Bangka Belitung
3537,35,Tanjung Kalian,Bangka Belitung,Tanjung Kalian,Tanjung Api Api,Sumatera Selatan
5411051,541,Tanjung Perak,Jawa Timur,Tanjung Perak,Soekarno-Hatta (Makassar),Sulawesi Selatan
8483,84,Tanjung Serdang,Kalimantan Selatan,Tanjung Serdang,Batulicin,Kalimantan Selatan
261032,26,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Letung,Kepulauan Riau
5515,26,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Matak,Kepulauan Riau
5516,26,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Tambelan,Kepulauan Riau
5505,26,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Telaga Punggur,Kepulauan Riau
55057,55,Tarakan,Kalimantan Utara,Tarakan,Nunukan,Kalimantan Utara
55052,55,Tarakan,Kalimantan Utara,Tarakan,Sebawang,Kalimantan Utara
55059,55,Tarakan,Kalimantan Utara,Tarakan,Toli Toli,Sulawesi Tengah
5493,19,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Dabo,Kepulauan Riau
198014,19,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Kuala Tungkal,Jambi
5496,19,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Mengkapan,Riau
5492,19,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Tanjung Balai Karimun,Kepulauan Riau
5491,19,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Tanjung Uban,Kepulauan Riau
127,31,Tua Pejat,Sumatera Barat,Tua Pejat,Padang,Sumatera Barat
