routeId,originHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince,service_category_id,service_category_name,serviceId,serviceName,serviceType,serviceCode,description,passengerCapacity,statusLogistic
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,inactive
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,inactive
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,inactive
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,inactive
5439,175,Aimere,Nusa Tenggara Timur,Aimere,Waingapu,Nusa Tenggara Timur,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,pejalan-kaki,Pejalan Kaki,9,Bayi Ekonomi,passenger,BAYI,0 - 2 Tahun,10,Inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,11,Golongan I,vehicle,GOL I,Sepeda Gayuh,1,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,12,Golongan II ,vehicle,GOL II,Sepeda motor roda 2 di bawah 500 cc & gerobak dorong,2,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,13,Golongan III,vehicle,GOL III,Sepeda motor besar lebih dari (500 cc) & Sepeda motor roda 3,2,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,14,Golongan IV - Penumpang,vehicle,GOL IV A,"Kendaraan penumpang roda 4 (sedan, jeep dan sejenisnya dengan panjang maks 5Meter)",7,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,15,Golongan IV - Barang,vehicle,GOL IV B,Kendaraan penumpang roda 4 (pickup sejenis dengan bak / boks panjang maks 5Meter),5,active
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,active
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,active
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,active
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,active
5510,348,Ajibata,Sumatera Utara,Ajibata,Ambarita,Sumatera Utara,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,active
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,pejalan-kaki,Pejalan Kaki,9,Bayi Ekonomi,passenger,BAYI,0 - 2 Tahun,10,Inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,11,Golongan I,vehicle,GOL I,Sepeda Gayuh,1,inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,12,Golongan II ,vehicle,GOL II,Sepeda motor roda 2 di bawah 500 cc & gerobak dorong,2,inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,13,Golongan III,vehicle,GOL III,Sepeda motor besar lebih dari (500 cc) & Sepeda motor roda 3,2,inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,14,Golongan IV - Penumpang,vehicle,GOL IV A,"Kendaraan penumpang roda 4 (sedan, jeep dan sejenisnya dengan panjang maks 5Meter)",7,inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,15,Golongan IV - Barang,vehicle,GOL IV B,Kendaraan penumpang roda 4 (pickup sejenis dengan bak / boks panjang maks 5Meter),5,active
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,active
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,active
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,active
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,active
5511,349,Ambarita,Sumatera Utara,Ambarita,Ajibata,Sumatera Utara,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,active
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,pejalan-kaki,Pejalan Kaki,1,Dewasa,passenger,DEWASA, >2 Tahun ,10,Inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,pejalan-kaki,Pejalan Kaki,9,Bayi Ekonomi,passenger,BAYI,0 - 2 Tahun,10,Inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,11,Golongan I,vehicle,GOL I,Sepeda Gayuh,1,inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,12,Golongan II ,vehicle,GOL II,Sepeda motor roda 2 di bawah 500 cc & gerobak dorong,2,inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,13,Golongan III,vehicle,GOL III,Sepeda motor besar lebih dari (500 cc) & Sepeda motor roda 3,2,inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,14,Golongan IV - Penumpang,vehicle,GOL IV A,"Kendaraan penumpang roda 4 (sedan, jeep dan sejenisnya dengan panjang maks 5Meter)",7,inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,15,Golongan IV - Barang,vehicle,GOL IV B,Kendaraan penumpang roda 4 (pickup sejenis dengan bak / boks panjang maks 5Meter),5,active
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,active
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,active
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,active
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,active
203202,203,Bajoe,Sulawesi Selatan,Bajoe,Kolaka,Sulawesi Tenggara,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,active
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,pejalan-kaki,Pejalan Kaki,9,Bayi Ekonomi,passenger,BAYI,0 - 2 Tahun,10,Inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,11,Golongan I,vehicle,GOL I,Sepeda Gayuh,1,inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,12,Golongan II ,vehicle,GOL II,Sepeda motor roda 2 di bawah 500 cc & gerobak dorong,2,inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,13,Golongan III,vehicle,GOL III,Sepeda motor besar lebih dari (500 cc) & Sepeda motor roda 3,2,inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,14,Golongan IV - Penumpang,vehicle,GOL IV A,"Kendaraan penumpang roda 4 (sedan, jeep dan sejenisnya dengan panjang maks 5Meter)",7,inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,15,Golongan IV - Barang,vehicle,GOL IV B,Kendaraan penumpang roda 4 (pickup sejenis dengan bak / boks panjang maks 5Meter),5,active
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,active
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,active
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,active
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,active
1516,14,Balohan,Aceh,Balohan,Ulee Lheue,Aceh,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,active
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,pejalan-kaki,Pejalan Kaki,9,Bayi Ekonomi,passenger,BAYI,0 - 2 Tahun,10,Inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,11,Golongan I,vehicle,GOL I,Sepeda Gayuh,1,inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,12,Golongan II ,vehicle,GOL II,Sepeda motor roda 2 di bawah 500 cc & gerobak dorong,2,inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,13,Golongan III,vehicle,GOL III,Sepeda motor besar lebih dari (500 cc) & Sepeda motor roda 3,2,inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,14,Golongan IV - Penumpang,vehicle,GOL IV A,"Kendaraan penumpang roda 4 (sedan, jeep dan sejenisnya dengan panjang maks 5Meter)",7,inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,15,Golongan IV - Barang,vehicle,GOL IV B,Kendaraan penumpang roda 4 (pickup sejenis dengan bak / boks panjang maks 5Meter),5,active
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,active
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,active
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,active
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,active
58,106,Bastiong,Maluku Utara,Bastiong,Babang,Maluku Utara,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,active
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,pejalan-kaki,Pejalan Kaki,9,Bayi Ekonomi,passenger,BAYI,0 - 2 Tahun,10,Inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,11,Golongan I,vehicle,GOL I,Sepeda Gayuh,1,inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,12,Golongan II ,vehicle,GOL II,Sepeda motor roda 2 di bawah 500 cc & gerobak dorong,2,inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,13,Golongan III,vehicle,GOL III,Sepeda motor besar lebih dari (500 cc) & Sepeda motor roda 3,2,inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,14,Golongan IV - Penumpang,vehicle,GOL IV A,"Kendaraan penumpang roda 4 (sedan, jeep dan sejenisnya dengan panjang maks 5Meter)",7,inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,15,Golongan IV - Barang,vehicle,GOL IV B,Kendaraan penumpang roda 4 (pickup sejenis dengan bak / boks panjang maks 5Meter),5,active
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,16,Golongan V - Penumpang,vehicle,GOL V A,Kendaraan penumpang (minibus/elf sejenis dengan panjang lebih dari 5-7Meter),16,inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,17,Golongan V - Barang,vehicle,GOL V B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 5-7Meter),2,active
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,18,Golongan VI - Penumpang,vehicle,GOL VI A,Kendaraan penumpang (bus dengan panjang lebih dari 7-10Meter),32,inactive
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,19,Golongan VI - Barang,vehicle,GOL VI B,Kendaraan barang (dengan bak/boks dan tangki sejenis dengan panjang lebih dari 7-10m),2,active
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,20,Golongan VII,vehicle,GOL VII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang 10-12m",2,active
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,21,Golongan VIII,vehicle,GOL VIII,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 12-16m",2,active
42,106,Bastiong,Maluku Utara,Bastiong,Batang Dua,Maluku Utara,kendaraan,Kendaraan,22,Golongan IX,vehicle,GOL IX,"Truk tronton / tangki, kereta penarik kendaraan berat dengan Panjang lebih dari 16m & Alat Berat",2,active
106521,106,Bastiong,Maluku Utara,Bastiong,Bitung,Sulawesi Utara,pejalan-kaki,Pejalan Kaki,7,Dewasa Ekonomi,passenger,DEWASA,>2 Tahun,10,Inactive
