routeId,origin,destination,shipClass,source,originHarbourId,destinationProvince
199436,Labuan Bajo,Waingapu,,trip.ferizy.com,199,Nusa Tenggara Timur
218217,Langara,Kendari,,trip.ferizy.com,218,Sulawesi Tenggara
5431,Larantuka,Adonara,,trip.ferizy.com,173,Nusa Tenggara Timur
5433,Larantuka,Baranusa,,trip.ferizy.com,173,Nusa Tenggara Timur
5427,Larantuka,Kalabahi,,trip.ferizy.com,173,Nusa Tenggara Timur
1407,Larantuka,Kupang,,trip.ferizy.com,173,Nusa Tenggara Timur
5434,Larantuka,Lewoleba,,trip.ferizy.com,173,Nusa Tenggara Timur
5432,Larantuka,Solor,,trip.ferizy.com,173,Nusa Tenggara Timur
5476,Larantuka,Waiwerang,,trip.ferizy.com,173,Nusa Tenggara Timur
198563,Lembar,Jangkar,,trip.ferizy.com,198,Jawa Timur
25,Lembar,Padang Bai,,trip.ferizy.com,198,Bali
198568,Lembar,Probolinggo,,trip.ferizy.com,198,Jawa Timur
344049,Mamuju,Balikpapan,,trip.ferizy.com,344,Kalimantan Timur
284296,Manokwari,Biak,,trip.ferizy.com,284,Papua
5487,Namlea,Galala,,trip.ferizy.com,89,Maluku
182439,Paciran,Bahaur,,trip.ferizy.com,9,Kalimantan Tengah
20,Paciran,Bawean,,trip.ferizy.com,9,Jawa Timur
122,Padang,Tua Pejat,,trip.ferizy.com,29,Sumatera Barat
26,Padang Bai,Lembar,,trip.ferizy.com,196,Nusa Tenggara Barat
27,Padang Bai,Nusa Penida,,trip.ferizy.com,196,Bali
234228,Pagimana,Gorontalo,,trip.ferizy.com,234,Gorontalo
121,Pamatata,Bira,,trip.ferizy.com,244,Sulawesi Selatan
5489,Penajam,Kariangau,,trip.ferizy.com,54,Kalimantan Timur
30,Pototano,Kayangan,,trip.ferizy.com,194,Nusa Tenggara Barat
201027,Probolinggo,Lembar,,trip.ferizy.com,566,Nusa Tenggara Barat
1023206,Pulau Balang Lompo,Maccini Baji,,trip.ferizy.com,1023,
5425,Rote,Hansisi,,trip.ferizy.com,172,Nusa Tenggara Timur
5354,Rote,Kupang,,trip.ferizy.com,172,Nusa Tenggara Timur
5350,Rote,Ndao,,trip.ferizy.com,172,Nusa Tenggara Timur
34,Rum,Bastiong,,trip.ferizy.com,131,Maluku Utara
5513,Sape,Labuan Bajo,,trip.ferizy.com,200,Nusa Tenggara Timur
200201,Sape,Waikelo,,trip.ferizy.com,200,Nusa Tenggara Timur
200436,Sape,Waingapu,,trip.ferizy.com,200,Nusa Tenggara Timur
4041,Sibolga,Gunungsitoli,,trip.ferizy.com,40,Sumatera Utara
35,Sidangole,Bastiong,,trip.ferizy.com,107,Maluku Utara
479541,Soekarno-Hatta (Makassar),Tanjung Perak,,trip.ferizy.com,479,Jawa Timur
569570,Tanjung Api Api,Tanjung Kalian,,trip.ferizy.com,569,Bangka Belitung
3537,Tanjung Kalian,Tanjung Api Api,,trip.ferizy.com,35,Sumatera Selatan
5411051,Tanjung Perak,Soekarno-Hatta (Makassar),,trip.ferizy.com,541,Sulawesi Selatan
8483,Tanjung Serdang,Batulicin,,trip.ferizy.com,84,Kalimantan Selatan
261032,Tanjung Uban,Letung,,trip.ferizy.com,26,Kepulauan Riau
5515,Tanjung Uban,Matak,,trip.ferizy.com,26,Kepulauan Riau
5516,Tanjung Uban,Tambelan,,trip.ferizy.com,26,Kepulauan Riau
5505,Tanjung Uban,Telaga Punggur,,trip.ferizy.com,26,Kepulauan Riau
55057,Tarakan,Nunukan,,trip.ferizy.com,55,Kalimantan Utara
55052,Tarakan,Sebawang,,trip.ferizy.com,55,Kalimantan Utara
55059,Tarakan,Toli Toli,,trip.ferizy.com,55,Sulawesi Tengah
5493,Telaga Punggur,Dabo,,trip.ferizy.com,19,Kepulauan Riau
198014,Telaga Punggur,Kuala Tungkal,,trip.ferizy.com,19,Jambi
5496,Telaga Punggur,Mengkapan,,trip.ferizy.com,19,Riau
5492,Telaga Punggur,Tanjung Balai Karimun,,trip.ferizy.com,19,Kepulauan Riau
5491,Telaga Punggur,Tanjung Uban,,trip.ferizy.com,19,Kepulauan Riau
127,Tua Pejat,Padang,,trip.ferizy.com,31,Sumatera Barat
22,Ujung,Kamal,,trip.ferizy.com,12,Jawa Timur
1514,Ulee Lheue,Balohan,,trip.ferizy.com,15,Aceh
201200,Waikelo,Sape,,trip.ferizy.com,201,Nusa Tenggara Barat
5442,Waingapu,Aimere,,trip.ferizy.com,177,Nusa Tenggara Timur
5443,Waingapu,Ende,,trip.ferizy.com,177,Nusa Tenggara Timur
5415,Waingapu,Kupang,,trip.ferizy.com,177,Nusa Tenggara Timur
436199,Waingapu,Labuan Bajo,,trip.ferizy.com,436,Nusa Tenggara Timur
177342,Waingapu,Raijua,,trip.ferizy.com,177,Nusa Tenggara Timur
5335,Waingapu,Sabu,,trip.ferizy.com,177,Nusa Tenggara Timur
436200,Waingapu,Sape,,trip.ferizy.com,436,Nusa Tenggara Barat
5485,Waipirit,Hunimua,,trip.ferizy.com,95,Maluku
