routeId,originHarbourId,origin,destination,destinationProvince,serviceCategory,serviceId,serviceName,vehicleClass,departDate,departTime,scheduleId,quota,fareAmount,totalPrice,currency,status,statusCode,message
106521,106,Bastiong,Bitung,Sulawesi Utara,Pejalan Kaki,9,Bayi Ekonomi,BAYI,2026-08-23,,,,,,IDR,NO_SCHEDULE_FOR_DATE,0,No departure slots found for date 2026-08-23 (1 total across other dates)
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,11,Golongan I,GOL I,2026-08-23,06:30,2627160930380750633,1,48300,48300,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,12,Golongan II ,GOL II,2026-08-23,06:30,2627160930380750633,0,82600,82600,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,13,Golongan III,GOL III,2026-08-23,06:30,2627160930380750633,1,105500,105500,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,14,Golongan IV - Penumpang,GOL IV A,2026-08-23,06:30,2627160930380750633,5,595900,595900,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,15,Golongan IV - Barang,GOL IV B,2026-08-23,06:30,2627160930380750633,0,444600,444600,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,16,Golongan V - Penumpang,GOL V A,2026-08-23,06:30,2627160930380750633,1,1075900,1075900,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,17,Golongan V - Barang,GOL V B,2026-08-23,06:30,2627160930380750633,0,643100,643100,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,18,Golongan VI - Penumpang,GOL VI A,2026-08-23,06:30,2627160930380750633,0,1710700,1710700,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,19,Golongan VI - Barang,GOL VI B,2026-08-23,06:30,2627160930380750633,0,905000,905000,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,20,Golongan VII,GOL VII,2026-08-23,06:30,2627160930380750633,0,1351700,1351700,IDR,OK,200,Ship schedule found.
120,239,Bira,Pamatata,Sulawesi Selatan,Kendaraan,21,Golongan VIII,GOL VIII,2026-08-23,06:30,2627160930380750633,0,1627000,1627000,IDR,OK,200,Ship schedule found.
