routeId,source,originHarbourId,destinationHarbourId,originHarbourName,originProvince,origin,destination,destinationProvince,shipClassId,shipClass
441440,trip.ferizy.com,441,,Kalianget,Jawa Timur,Kalianget,Jangkar,Jawa Timur,,
441442,trip.ferizy.com,441,,Kalianget,Jawa Timur,Kalianget,Kangean,Jawa Timur,,
23,trip.ferizy.com,13,,Kamal,Jawa Timur,Kamal,Ujung,Jawa Timur,,
2003,trip.ferizy.com,2,,Karimun Jawa,Jawa Tengah,Karimun Jawa,Jepara,Jawa Tengah,,
29,trip.ferizy.com,195,,Kayangan,Nusa Tenggara Barat,Kayangan,Pototano,Nusa Tenggara Barat,,
217218,trip.ferizy.com,217,,Kendari,Sulawesi Tenggara,Kendari,Langara,Sulawesi Tenggara,,
202203,trip.ferizy.com,202,,Kolaka,Sulawesi Tenggara,Kolaka,Bajoe,Sulawesi Selatan,,
202204,trip.ferizy.com,202,,Kolaka,Sulawesi Tenggara,Kolaka,Siwa,Sulawesi Selatan,,
5369,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Adonara,Nusa Tenggara Timur,,
5412,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Aimere,Nusa Tenggara Timur,,
5378,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Ende,Nusa Tenggara Timur,,
5422,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Hansisi,Nusa Tenggara Timur,,
5408,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Kalabahi,Nusa Tenggara Timur,,
1406,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Larantuka,Nusa Tenggara Timur,,
5363,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Lewoleba,Nusa Tenggara Timur,,
5430,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Naikliu,Nusa Tenggara Timur,,
5373,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Ndao,Nusa Tenggara Timur,,
5435,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Raijua,Nusa Tenggara Timur,,
5355,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Rote,Nusa Tenggara Timur,,
5410,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Sabu,Nusa Tenggara Timur,,
5414,trip.ferizy.com,171,,Kupang,Nusa Tenggara Timur,Kupang,Waingapu,Nusa Tenggara Timur,,
199478,trip.ferizy.com,199,,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Bira ,Sulawesi Selatan,,
199477,trip.ferizy.com,199,,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Jampea ,Sulawesi Selatan,,
199559,trip.ferizy.com,199,,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Pulau Rinca,Nusa Tenggara Timur,,
5514,trip.ferizy.com,199,,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Sape,Nusa Tenggara Barat,,
199436,trip.ferizy.com,199,,Labuan Bajo,Nusa Tenggara Timur,Labuan Bajo,Waingapu,Nusa Tenggara Timur,,
218217,trip.ferizy.com,218,,Langara,Sulawesi Tenggara,Langara,Kendari,Sulawesi Tenggara,,
5431,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Adonara,Nusa Tenggara Timur,,
5433,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Baranusa,Nusa Tenggara Timur,,
5427,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Kalabahi,Nusa Tenggara Timur,,
1407,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Kupang,Nusa Tenggara Timur,,
5434,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Lewoleba,Nusa Tenggara Timur,,
5432,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Solor,Nusa Tenggara Timur,,
5476,trip.ferizy.com,173,,Larantuka,Nusa Tenggara Timur,Larantuka,Waiwerang,Nusa Tenggara Timur,,
198563,trip.ferizy.com,198,,Lembar,Nusa Tenggara Barat,Lembar,Jangkar,Jawa Timur,,
25,trip.ferizy.com,198,,Lembar,Nusa Tenggara Barat,Lembar,Padang Bai,Bali,,
198568,trip.ferizy.com,198,,Lembar,Nusa Tenggara Barat,Lembar,Probolinggo,Jawa Timur,,
344049,trip.ferizy.com,344,,Mamuju,Sulawesi Barat,Mamuju,Balikpapan,Kalimantan Timur,,
284296,trip.ferizy.com,284,,Manokwari,Papua Barat,Manokwari,Biak,Papua,,
5487,trip.ferizy.com,89,,Namlea,Maluku,Namlea,Galala,Maluku,,
182439,trip.ferizy.com,9,,Paciran,Jawa Timur,Paciran,Bahaur,Kalimantan Tengah,,
20,trip.ferizy.com,9,,Paciran,Jawa Timur,Paciran,Bawean,Jawa Timur,,
122,trip.ferizy.com,29,,Padang,Sumatera Barat,Padang,Tua Pejat,Sumatera Barat,,
26,trip.ferizy.com,196,,Padang Bai,Bali,Padang Bai,Lembar,Nusa Tenggara Barat,,
27,trip.ferizy.com,196,,Padang Bai,Bali,Padang Bai,Nusa Penida,Bali,,
234228,trip.ferizy.com,234,,Pagimana,Sulawesi Tengah,Pagimana,Gorontalo,Gorontalo,,
121,trip.ferizy.com,244,,Pamatata,Sulawesi Selatan,Pamatata,Bira,Sulawesi Selatan,,
5489,trip.ferizy.com,54,,Penajam,Kalimantan Timur,Penajam,Kariangau,Kalimantan Timur,,
30,trip.ferizy.com,194,,Pototano,Nusa Tenggara Barat,Pototano,Kayangan,Nusa Tenggara Barat,,
201027,trip.ferizy.com,566,,Probolinggo,Jawa Timur,Probolinggo,Lembar,Nusa Tenggara Barat,,
1023206,trip.ferizy.com,1023,,Pulau Balang Lompo,Sulawesi Selatan,Pulau Balang Lompo,Maccini Baji,,,
5425,trip.ferizy.com,172,,Rote,Nusa Tenggara Timur,Rote,Hansisi,Nusa Tenggara Timur,,
5354,trip.ferizy.com,172,,Rote,Nusa Tenggara Timur,Rote,Kupang,Nusa Tenggara Timur,,
5350,trip.ferizy.com,172,,Rote,Nusa Tenggara Timur,Rote,Ndao,Nusa Tenggara Timur,,
34,trip.ferizy.com,131,,Rum,Maluku Utara,Rum,Bastiong,Maluku Utara,,
5513,trip.ferizy.com,200,,Sape,Nusa Tenggara Barat,Sape,Labuan Bajo,Nusa Tenggara Timur,,
200201,trip.ferizy.com,200,,Sape,Nusa Tenggara Barat,Sape,Waikelo,Nusa Tenggara Timur,,
200436,trip.ferizy.com,200,,Sape,Nusa Tenggara Barat,Sape,Waingapu,Nusa Tenggara Timur,,
4041,trip.ferizy.com,40,,Sibolga,Sumatera Utara,Sibolga,Gunungsitoli,Sumatera Utara,,
35,trip.ferizy.com,107,,Sidangole,Maluku Utara,Sidangole,Bastiong,Maluku Utara,,
479541,trip.ferizy.com,479,,Soekarno-Hatta (Makassar),Sulawesi Selatan,Soekarno-Hatta (Makassar),Tanjung Perak,Jawa Timur,,
569570,trip.ferizy.com,569,,Tanjung Api Api,Sumatera Selatan,Tanjung Api Api,Tanjung Kalian,Bangka Belitung,,
3537,trip.ferizy.com,35,,Tanjung Kalian,Bangka Belitung,Tanjung Kalian,Tanjung Api Api,Sumatera Selatan,,
5411051,trip.ferizy.com,541,,Tanjung Perak,Jawa Timur,Tanjung Perak,Soekarno-Hatta (Makassar),Sulawesi Selatan,,
8483,trip.ferizy.com,84,,Tanjung Serdang,Kalimantan Selatan,Tanjung Serdang,Batulicin,Kalimantan Selatan,,
261032,trip.ferizy.com,26,,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Letung,Kepulauan Riau,,
5515,trip.ferizy.com,26,,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Matak,Kepulauan Riau,,
5516,trip.ferizy.com,26,,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Tambelan,Kepulauan Riau,,
5505,trip.ferizy.com,26,,Tanjung Uban,Kepulauan Riau,Tanjung Uban,Telaga Punggur,Kepulauan Riau,,
55057,trip.ferizy.com,55,,Tarakan,Kalimantan Utara,Tarakan,Nunukan,Kalimantan Utara,,
55052,trip.ferizy.com,55,,Tarakan,Kalimantan Utara,Tarakan,Sebawang,Kalimantan Utara,,
55059,trip.ferizy.com,55,,Tarakan,Kalimantan Utara,Tarakan,Toli Toli,Sulawesi Tengah,,
5493,trip.ferizy.com,19,,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Dabo,Kepulauan Riau,,
198014,trip.ferizy.com,19,,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Kuala Tungkal,Jambi,,
5496,trip.ferizy.com,19,,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Mengkapan,Riau,,
5492,trip.ferizy.com,19,,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Tanjung Balai Karimun,Kepulauan Riau,,
5491,trip.ferizy.com,19,,Telaga Punggur,Kepulauan Riau,Telaga Punggur,Tanjung Uban,Kepulauan Riau,,
127,trip.ferizy.com,31,,Tua Pejat,Sumatera Barat,Tua Pejat,Padang,Sumatera Barat,,
