origin,destination,shipClass,vehicleClass,departDate,departTime,kuota,fareAmount,totalFare,currency,sourceFile
Bakauheni,Merak,Express,GOLONGAN IVA,2026-08-20,11:06:00-11:06:00,303,749128,749128,IDR,fare_3_2_2_vc9_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN IVB,2026-08-20,11:06:00-11:06:00,303,491800,491800,IDR,fare_3_2_2_vc10_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN VA,2026-08-20,11:06:00-11:06:00,303,1225928,1225928,IDR,fare_3_2_2_vc11_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN VB,2026-08-20,11:06:00-11:06:00,303,904923,904923,IDR,fare_3_2_2_vc12_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN VIA,2026-08-20,11:06:00-11:06:00,303,2015985,2015985,IDR,fare_3_2_2_vc13_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN VIB,2026-08-20,11:06:00-11:06:00,303,1366620,1366620,IDR,fare_3_2_2_vc14_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN VII,2026-08-20,11:06:00-11:06:00,303,1975580,1975580,IDR,fare_3_2_2_vc15_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN VIII,2026-08-20,11:06:00-11:06:00,303,2619845,2619845,IDR,fare_3_2_2_vc16_2026-08-20.json
Bakauheni,Merak,Express,GOLONGAN IX,2026-08-20,11:06:00-11:06:00,303,3998920,3998920,IDR,fare_3_2_2_vc17_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN I,2026-08-20,12:00:00-13:00:00,220,11000,11000,IDR,fare_4_5_1_vc4_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN II,2026-08-20,12:00:00-13:00:00,220,31600,31600,IDR,fare_4_5_1_vc7_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN III,2026-08-20,12:00:00-13:00:00,220,45000,45000,IDR,fare_4_5_1_vc8_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN IVA,2026-08-20,12:00:00-13:00:00,220,213400,213400,IDR,fare_4_5_1_vc9_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN IVB,2026-08-20,12:00:00-13:00:00,220,182400,182400,IDR,fare_4_5_1_vc10_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN VA,2026-08-20,12:00:00-13:00:00,220,420400,420400,IDR,fare_4_5_1_vc11_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN VB,2026-08-20,12:00:00-13:00:00,220,309500,309500,IDR,fare_4_5_1_vc12_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN VIA,2026-08-20,12:00:00-13:00:00,220,637800,637800,IDR,fare_4_5_1_vc13_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN VIB,2026-08-20,12:00:00-13:00:00,220,511100,511100,IDR,fare_4_5_1_vc14_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN VII,2026-08-20,12:00:00-13:00:00,220,630300,630300,IDR,fare_4_5_1_vc15_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN VIII,2026-08-20,12:00:00-13:00:00,220,888300,888300,IDR,fare_4_5_1_vc16_2026-08-20.json
Gilimanuk,Ketapang,Reguler,GOLONGAN IX,2026-08-20,12:00:00-13:00:00,220,1229600,1229600,IDR,fare_4_5_1_vc17_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN I,2026-08-20,11:00:00-12:00:00,422,11000,11000,IDR,fare_5_4_1_vc4_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN II,2026-08-20,11:00:00-12:00:00,422,31600,31600,IDR,fare_5_4_1_vc7_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN III,2026-08-20,11:00:00-12:00:00,422,45000,45000,IDR,fare_5_4_1_vc8_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN IVA,2026-08-20,11:00:00-12:00:00,422,213400,213400,IDR,fare_5_4_1_vc9_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN IVB,2026-08-20,11:00:00-12:00:00,422,182400,182400,IDR,fare_5_4_1_vc10_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN VA,2026-08-20,11:00:00-12:00:00,422,420400,420400,IDR,fare_5_4_1_vc11_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN VB,2026-08-20,11:00:00-12:00:00,422,309500,309500,IDR,fare_5_4_1_vc12_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN VIA,2026-08-20,11:00:00-12:00:00,422,637800,637800,IDR,fare_5_4_1_vc13_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN VIB,2026-08-20,11:00:00-12:00:00,422,511100,511100,IDR,fare_5_4_1_vc14_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN VII,2026-08-20,11:00:00-12:00:00,422,630300,630300,IDR,fare_5_4_1_vc15_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN VIII,2026-08-20,11:00:00-12:00:00,422,888300,888300,IDR,fare_5_4_1_vc16_2026-08-20.json
Ketapang,Gilimanuk,Reguler,GOLONGAN IX,2026-08-20,11:00:00-12:00:00,422,1229600,1229600,IDR,fare_5_4_1_vc17_2026-08-20.json
